distance,duration,count
0.7595000000000001,6.011583333333332,41465.0
0.7595000000000001,18.001416666666664,6079.0
0.7595000000000001,29.991249999999997,2002.0
0.7595000000000001,41.98108333333333,1415.0
0.7595000000000001,53.97091666666667,963.0
0.7595000000000001,65.96074999999999,933.0
0.7595000000000001,77.95058333333333,296.0
0.7595000000000001,89.94041666666666,154.0
0.7595000000000001,101.93025,64.0
0.7595000000000001,113.92008333333334,44.0
0.7595000000000001,125.90991666666667,28.0
0.7595000000000001,137.89975,20.0
0.7595000000000001,149.88958333333335,14.0
0.7595000000000001,161.87941666666666,7.0
0.7595000000000001,173.86925000000002,5.0
0.7595000000000001,185.85908333333333,10.0
0.7595000000000001,197.8489166666667,8.0
0.7595000000000001,209.83875,2.0
0.7595000000000001,221.82858333333337,5.0
0.7595000000000001,233.81841666666668,1.0
0.7595000000000001,257.79808333333335,4.0
0.7595000000000001,269.78791666666666,2.0
0.7595000000000001,293.7675833333333,3.0
0.7595000000000001,305.75741666666664,4.0
0.7595000000000001,317.74725,1.0
0.7595000000000001,329.7370833333333,3.0
0.7595000000000001,341.7269166666666,1.0
0.7595000000000001,353.71675,1.0
0.7595000000000001,365.70658333333336,1.0
0.7595000000000001,377.69641666666666,1.0
0.7595000000000001,389.68625,1.0
0.7595000000000001,401.6760833333333,1.0
0.7595000000000001,425.65575,1.0
0.7595000000000001,449.63541666666663,2.0
0.7595000000000001,461.62525,2.0
0.7595000000000001,509.5845833333333,2.0
0.7595000000000001,557.5439166666666,1.0
0.7595000000000001,641.47275,1.0
0.7595000000000001,677.44225,1.0
0.7595000000000001,689.4320833333334,1.0
0.7595000000000001,713.41175,1.0
0.7595000000000001,737.3914166666666,1.0
0.7595000000000001,821.32025,1.0
0.7595000000000001,881.2694166666666,1.0
0.7595000000000001,893.25925,1.0
0.7595000000000001,977.1880833333333,1.0
2.2585,6.011583333333332,74016.0
2.2585,18.001416666666664,100595.0
2.2585,29.991249999999997,16452.0
2.2585,41.98108333333333,3504.0
2.2585,53.97091666666667,1464.0
2.2585,65.96074999999999,999.0
2.2585,77.95058333333333,366.0
2.2585,89.94041666666666,182.0
2.2585,101.93025,124.0
2.2585,113.92008333333334,42.0
2.2585,125.90991666666667,47.0
2.2585,137.89975,28.0
2.2585,149.88958333333335,11.0
2.2585,161.87941666666666,13.0
2.2585,173.86925000000002,7.0
2.2585,185.85908333333333,7.0
2.2585,197.8489166666667,7.0
2.2585,209.83875,2.0
2.2585,221.82858333333337,3.0
2.2585,233.81841666666668,3.0
2.2585,245.80825000000002,5.0
2.2585,257.79808333333335,3.0
2.2585,293.7675833333333,1.0
2.2585,305.75741666666664,3.0
2.2585,317.74725,1.0
2.2585,353.71675,1.0
2.2585,377.69641666666666,2.0
2.2585,389.68625,1.0
2.2585,401.6760833333333,1.0
2.2585,413.66591666666665,1.0
2.2585,425.65575,3.0
2.2585,449.63541666666663,1.0
2.2585,461.62525,2.0
2.2585,473.61508333333336,3.0
2.2585,485.60491666666667,2.0
2.2585,497.59475,1.0
2.2585,509.5845833333333,4.0
2.2585,521.5744166666666,1.0
2.2585,533.56425,1.0
2.2585,557.5439166666666,1.0
2.2585,569.5337499999999,1.0
2.2585,617.4930833333333,1.0
2.2585,629.4829166666666,2.0
2.2585,653.4625833333333,1.0
2.2585,677.44225,2.0
2.2585,689.4320833333334,1.0
2.2585,701.4219166666667,1.0
2.2585,713.41175,1.0
2.2585,725.4015833333333,1.0
2.2585,797.3405833333334,2.0
2.2585,809.3304166666667,1.0
2.2585,845.2999166666666,1.0
2.2585,869.2795833333333,1.0
2.2585,893.25925,1.0
2.2585,905.2490833333334,3.0
2.2585,965.19825,1.0
2.2585,1073.10675,2.0
2.2585,1121.0660833333332,1.0
2.2585,1145.0457499999998,1.0
3.7575,6.011583333333332,1229.0
3.7575,18.001416666666664,224401.0
3.7575,29.991249999999997,112439.0
3.7575,41.98108333333333,20745.0
3.7575,53.97091666666667,6330.0
3.7575,65.96074999999999,2159.0
3.7575,77.95058333333333,880.0
3.7575,89.94041666666666,435.0
3.7575,101.93025,256.0
3.7575,113.92008333333334,122.0
3.7575,125.90991666666667,97.0
3.7575,137.89975,55.0
3.7575,149.88958333333335,42.0
3.7575,161.87941666666666,24.0
3.7575,173.86925000000002,17.0
3.7575,185.85908333333333,18.0
3.7575,197.8489166666667,9.0
3.7575,209.83875,5.0
3.7575,221.82858333333337,6.0
3.7575,233.81841666666668,2.0
3.7575,245.80825000000002,3.0
3.7575,257.79808333333335,7.0
3.7575,269.78791666666666,4.0
3.7575,293.7675833333333,3.0
3.7575,305.75741666666664,3.0
3.7575,317.74725,1.0
3.7575,329.7370833333333,2.0
3.7575,341.7269166666666,1.0
3.7575,353.71675,1.0
3.7575,365.70658333333336,1.0
3.7575,377.69641666666666,1.0
3.7575,389.68625,2.0
3.7575,401.6760833333333,2.0
3.7575,413.66591666666665,1.0
3.7575,425.65575,2.0
3.7575,437.6455833333333,1.0
3.7575,461.62525,1.0
3.7575,473.61508333333336,1.0
3.7575,497.59475,3.0
3.7575,509.5845833333333,3.0
3.7575,533.56425,1.0
3.7575,545.5540833333333,1.0
3.7575,557.5439166666666,1.0
3.7575,569.5337499999999,2.0
3.7575,605.50325,1.0
3.7575,653.4625833333333,1.0
3.7575,737.3914166666666,1.0
3.7575,773.3609166666666,1.0
3.7575,785.35075,1.0
3.7575,857.28975,2.0
3.7575,905.2490833333334,1.0
3.7575,953.2084166666666,1.0
3.7575,965.19825,2.0
3.7575,977.1880833333333,2.0
3.7575,1037.13725,2.0
3.7575,1085.0965833333335,1.0
3.7575,1109.07625,1.0
3.7575,1157.0355833333333,2.0
3.7575,1181.01525,1.0
3.7575,1193.0050833333335,1.0
5.2565,6.011583333333332,60.0
5.2565,18.001416666666664,128463.0
5.2565,29.991249999999997,763659.0
5.2565,41.98108333333333,121098.0
5.2565,53.97091666666667,22282.0
5.2565,65.96074999999999,9536.0
5.2565,77.95058333333333,2503.0
5.2565,89.94041666666666,1104.0
5.2565,101.93025,581.0
5.2565,113.92008333333334,327.0
5.2565,125.90991666666667,241.0
5.2565,137.89975,140.0
5.2565,149.88958333333335,88.0
5.2565,161.87941666666666,55.0
5.2565,173.86925000000002,33.0
5.2565,185.85908333333333,35.0
5.2565,197.8489166666667,20.0
5.2565,209.83875,17.0
5.2565,221.82858333333337,14.0
5.2565,233.81841666666668,10.0
5.2565,245.80825000000002,10.0
5.2565,257.79808333333335,4.0
5.2565,269.78791666666666,6.0
5.2565,281.77774999999997,5.0
5.2565,293.7675833333333,8.0
5.2565,305.75741666666664,4.0
5.2565,317.74725,5.0
5.2565,329.7370833333333,1.0
5.2565,341.7269166666666,1.0
5.2565,353.71675,1.0
5.2565,365.70658333333336,3.0
5.2565,377.69641666666666,1.0
5.2565,389.68625,3.0
5.2565,401.6760833333333,4.0
5.2565,413.66591666666665,2.0
5.2565,425.65575,1.0
5.2565,461.62525,1.0
5.2565,485.60491666666667,2.0
5.2565,497.59475,2.0
5.2565,521.5744166666666,1.0
5.2565,557.5439166666666,2.0
5.2565,569.5337499999999,2.0
5.2565,581.5235833333334,1.0
5.2565,617.4930833333333,1.0
5.2565,629.4829166666666,1.0
5.2565,641.47275,2.0
5.2565,653.4625833333333,1.0
5.2565,677.44225,1.0
5.2565,689.4320833333334,1.0
5.2565,701.4219166666667,1.0
5.2565,749.38125,1.0
5.2565,785.35075,1.0
5.2565,845.2999166666666,1.0
5.2565,857.28975,2.0
5.2565,929.22875,1.0
5.2565,977.1880833333333,1.0
5.2565,1049.1270833333333,1.0
5.2565,1097.0864166666665,1.0
5.2565,1133.0559166666667,1.0
5.2565,1169.0254166666668,1.0
5.2565,1193.0050833333335,3.0
6.7555000000000005,6.011583333333332,4.0
6.7555000000000005,18.001416666666664,2073.0
6.7555000000000005,29.991249999999997,471725.0
6.7555000000000005,41.98108333333333,471548.0
6.7555000000000005,53.97091666666667,67663.0
6.7555000000000005,65.96074999999999,17825.0
6.7555000000000005,77.95058333333333,6836.0
6.7555000000000005,89.94041666666666,2897.0
6.7555000000000005,101.93025,1154.0
6.7555000000000005,113.92008333333334,629.0
6.7555000000000005,125.90991666666667,370.0
6.7555000000000005,137.89975,238.0
6.7555000000000005,149.88958333333335,165.0
6.7555000000000005,161.87941666666666,111.0
6.7555000000000005,173.86925000000002,82.0
6.7555000000000005,185.85908333333333,54.0
6.7555000000000005,197.8489166666667,46.0
6.7555000000000005,209.83875,22.0
6.7555000000000005,221.82858333333337,24.0
6.7555000000000005,233.81841666666668,23.0
6.7555000000000005,245.80825000000002,21.0
6.7555000000000005,257.79808333333335,9.0
6.7555000000000005,269.78791666666666,9.0
6.7555000000000005,281.77774999999997,8.0
6.7555000000000005,293.7675833333333,7.0
6.7555000000000005,305.75741666666664,10.0
6.7555000000000005,317.74725,3.0
6.7555000000000005,329.7370833333333,3.0
6.7555000000000005,341.7269166666666,4.0
6.7555000000000005,353.71675,3.0
6.7555000000000005,365.70658333333336,2.0
6.7555000000000005,377.69641666666666,2.0
6.7555000000000005,389.68625,2.0
6.7555000000000005,401.6760833333333,5.0
6.7555000000000005,425.65575,1.0
6.7555000000000005,461.62525,3.0
6.7555000000000005,485.60491666666667,2.0
